name;score;url;Background;Body;Clothes;Eyes;Head;Mouth;Nose
PsychoMolly #928;0.00015779665895386067;https://crypto.com/nft/marketplace?asset=b18408f02c10ddb0db418d232bdbd5ac;Dots;Mint Swirl;Hoody;Purple Shadow;Sugar Skull Rose;Lick;Gold Stud
PsychoMolly #699;0.00015930831463539094;https://crypto.com/nft/marketplace?asset=35c8e1d5cdfda6fea261a88cf77fa72f;Diamonds;White Stripes;Skeleton Shirt;Shades;Purple Hair;Pink Slime;Sugar Skull Nose
PsychoMolly #1614;0.00016189089297862763;https://crypto.com/nft/marketplace?asset=63945d735869253f9e65e21892f97b52;Hot Pink;Black Moon;White Dress;Sugar Skull Eyes;Soldier Hat;Lick;Teal Nose
PsychoMolly #7203;0.00016212222902871128;https://crypto.com/nft/marketplace?asset=4d1ebca8620d4f4926d84029961109a0;Sun Down;Purple-ish;Rainbow Shirt;K-Trix Shades;Sugar Skull Rose;Cig;Diamond Nose
PsychoMolly #8177;0.0001662988360644045;https://crypto.com/nft/marketplace?asset=5589e27156368c1936432f76600be2cd;Sun Down;Purple-ish;Flight Attendant;Triclops;CDC Red Hair;Pink Slime;Gold Stud
PsychoMolly #895;0.00016793412306582287;https://crypto.com/nft/marketplace?asset=909262d09e83c8b4b1072edf369f3119;Dots;Make-Up;Skeleton Shirt;Diamond Eyes;Blonde Hair;Geisha Lips;Gold Stud
PsychoMolly #6892;0.0001731237932831847;https://crypto.com/nft/marketplace?asset=705b586828aa124cdf7b0f514c40c59c;Sun Down;Make-Up;Flight Attendant;Diamond Eyes;Headphones;Lick;Button Nose
PsychoMolly #1218;0.00017387611396862712;https://crypto.com/nft/marketplace?asset=4184e77a12d11bde152d8ca3fd2d3d74;Sun Down;Purple-ish;Bad Girl;ETH Eyes;CDC Red Hair;Pink Yarn;Teal Nose
PsychoMolly #4156;0.0001757707883121272;https://crypto.com/nft/marketplace?asset=37762e2a94a0293ef28537fc71230749;Dots;White Stripes;Flight Attendant;Triclops;Hawaiian;Diamond Kiss;Heart Nose
PsychoMolly #2501;0.000175853438488782;https://crypto.com/nft/marketplace?asset=084501746456030c0d95e808debf852c;Sun Down;Pink Stripes;Bad Girl;Loca;Sombrero;Big Gold Fish;Nose Ring
PsychoMolly #6006;0.00017648870621589786;https://crypto.com/nft/marketplace?asset=152e8f2e0aa18c01cbe7fb301d7677d2;Hearts;Zombie;Super Bit;Blue Shadow;Bunny Ears;Smile;Nose Ring
PsychoMolly #7027;0.00017755377824678963;https://crypto.com/nft/marketplace?asset=fb3523ce9ab447d4d4ad0708caf3eac8;Diamonds;Cream;Skeleton Shirt;Red Eyes;Purple Hair;Smile;Button Nose
PsychoMolly #9503;0.00017837538845039258;https://crypto.com/nft/marketplace?asset=31807459193ca3324a603130bff3d89c;Dots;White;Gold Angel;Purple Shadow;Bunny Ears;Lick;Heart Nose
